language	conflation
Albanian_Gheg	1
Albanian_Tosk	0
Ancient_Greek	0
Armenian	0
Assamese	0
Baluchi	1
Bengali	0
Maithili	0
Breton	0
Bulgarian	1
Byelorussian	0
Catalan	0
Cornish	0
Czech	1
Danish	1
Iron_Ossetic	0
Dutch	1
English	1
Faroese	0
Flemish	0
French	1
Frisian	1
Friulian	0
German	1
Gothic	0
Modern_Greek	1
Gujarati	1
Hindi	1
Hittite	1
Icelandic	1
Irish_A	0
Italian	0
Kashmiri	1
Kurdish	0
Ladin	0
Latin	0
Latvian	1
Lithuanian	1
Lower_Sorbian	1
Luxemburgish	1
Macedonian	1
Marathi	1
Marwari	0
Nepali	1
Norwegian	0
Old_Church_Slavonic	0
Old_English	1
Old_Norse	0
Old_Prussian	0
Oriya	0
Pashto	0
Persian	1
Polish	0
Portuguese	0
Romanian	1
Russian	1
Sardinian_Campidanese	0
Sardinian_Logudorese	0
Scots_Gaelic	0
Serbocroatian	1
Sindhi	0
Sinhalese	0
Slovak	1
Slovenian	1
Spanish	0
Swedish	1
Tajik	1
Tocharian_A	0
Tocharian_B	0
Ukrainian	1
Upper_Sorbian	1
Urdu	1
Vedic_Sanskrit	0
Wakhi	0
Walloon	1
Waziri	1
Welsh_N	0
